id,type,file_path,line_number,string_name,original_text,translation,context,notes
5451,source_code,app\src\main\java\io\legado\app\help\book\ContentHelp.kt,596,,五,V.,五、反语和强调，周围没有断句符号。,Chinese parts: 五
5452,source_code,app\src\main\java\io\legado\app\help\book\ContentHelp.kt,596,,反语和强调,Mỉa mai và nhấn mạnh,五、反语和强调，周围没有断句符号。,Chinese parts: 反语和强调
5453,source_code,app\src\main\java\io\legado\app\help\book\ContentHelp.kt,596,,周围没有断句符号,Không có dấu ngắt câu xung quanh,五、反语和强调，周围没有断句符号。,Chinese parts: 周围没有断句符号
5471,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,513,,颜色,Màu sắc,,"ar bgType: Int = 0,//白天背景类型 0:颜色, 1:assets图片, 2其它图片",Chinese parts: 颜色
5472,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,513,,图片,Ảnh,,"nt = 0,//白天背景类型 0:颜色, 1:assets图片, 2其它图片",Chinese parts: 图片
5473,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,513,,其它图片,Ảnh khác,,"0,//白天背景类型 0:颜色, 1:assets图片, 2其它图片",Chinese parts: 其它图片
5474,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,514,,夜间背景类型,Kiểu nền ban đêm,,"var bgTypeNight: Int = 0,//夜间背景类型",Chinese parts: 夜间背景类型
5475,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,515,,背景类型,Kiểu nền,,"var bgTypeEInk: Int = 0,//EInk背景类型",Chinese parts: 背景类型
5476,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,516,,白天是否暗色状态栏,Thanh trạng thái tối màu ban ngày,,"kStatusIcon: Boolean = true,//白天是否暗色状态栏",Chinese parts: 白天是否暗色状态栏
5477,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,517,,晚上是否暗色状态栏,Thanh trạng thái tối màu ban đêm,,"sIconNight: Boolean = false,//晚上是否暗色状态栏",Chinese parts: 晚上是否暗色状态栏
5478,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,519,,白天文字颜色,Màu chữ ban ngày,,"xtColor: String = ""#3E3D3B"",//白天文字颜色",Chinese parts: 白天文字颜色
5479,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,520,,夜间文字颜色,Màu chữ ban đêm,,"orNight: String = ""#ADADAD"",//夜间文字颜色",Chinese parts: 夜间文字颜色
5480,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,522,,翻页动画,Hiệu ứng lật trang,,"ivate var pageAnim: Int = 0,//翻页动画",Chinese parts: 翻页动画
5481,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,524,,字体,Phông chữ,,"var textFont: String = """",//字体",Chinese parts: 字体
5482,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,525,,是否粗体字,Chữ in đậm,,"var textBold: Int = 0,//是否粗体字 0:正常, 1:粗体, 2:细体",Chinese parts: 是否粗体字
5483,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,525,,正常,Bình thường,,"r textBold: Int = 0,//是否粗体字 0:正常, 1:粗体, 2:细体",Chinese parts: 正常
5484,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,525,,粗体,In đậm,,"Bold: Int = 0,//是否粗体字 0:正常, 1:粗体, 2:细体",Chinese parts: 粗体
5485,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,525,,细体,In mỏng,,"Int = 0,//是否粗体字 0:正常, 1:粗体, 2:细体",Chinese parts: 细体
5486,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,526,,文字大小,Cỡ chữ,,"var textSize: Int = 20,//文字大小",Chinese parts: 文字大小
5487,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,527,,字间距,Khoảng cách chữ,,"letterSpacing: Float = 0.1f,//字间距",Chinese parts: 字间距
5488,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,528,,行间距,Khoảng cách dòng,,"lineSpacingExtra: Int = 12,//行间距",Chinese parts: 行间距
5489,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,529,,段距,Khoảng cách đoạn,,"r paragraphSpacing: Int = 2,//段距",Chinese parts: 段距
5490,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,530,,标题位置,Vị trí tiêu đề,,"var titleMode: Int = 0,//标题位置 0:居左 1:居中 2:隐藏",Chinese parts: 标题位置
5491,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,530,,居左,Căn trái,,"r titleMode: Int = 0,//标题位置 0:居左 1:居中 2:隐藏",Chinese parts: 居左
5492,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,530,,居中,Căn giữa,,"leMode: Int = 0,//标题位置 0:居左 1:居中 2:隐藏",Chinese parts: 居中
5493,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,530,,隐藏,Ẩn,,"e: Int = 0,//标题位置 0:居左 1:居中 2:隐藏",Chinese parts: 隐藏
5494,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,534,,段落缩进,Thụt lề đoạn văn,,"agraphIndent: String = ""　　"",//段落缩进",Chinese parts: 段落缩进
5495,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,535,,下划线,Gạch chân,,"underline: Boolean = false, //下划线",Chinese parts: 下划线
5496,source_code,app\src\main\java\io\legado\app\help\config\ThemeConfig.kt,187,,设置主题出错,Lỗi cài đặt giao diện,,"AppLog.put(""设置主题出错\n$e"", e, true)",Chinese parts: 设置主题出错
5497,source_code,app\src\main\java\io\legado\app\help\glide\LegadoDataUrlLoader.kt,56,,漫画图片解密失败,Giải mã ảnh truyện tranh thất bại,,"throw NoStackTraceException(""漫画图片解密失败"")",Chinese parts: 漫画图片解密失败
5498,source_code,app\src\main\java\io\legado\app\help\glide\OkHttpStreamFetcher.kt,58,,跳过加载失败的图片,Bỏ qua ảnh tải lỗi,,"Failed(NoStackTraceException(""跳过加载失败的图片""))",Chinese parts: 跳过加载失败的图片
5499,source_code,app\src\main\java\io\legado\app\help\glide\OkHttpStreamFetcher.kt,63,,只在,Chỉ khi,,"Failed(NoStackTraceException(""只在wifi加载图片""))",Chinese parts: 只在
5500,source_code,app\src\main\java\io\legado\app\help\glide\OkHttpStreamFetcher.kt,63,,加载图片,Tải ảnh,,"(NoStackTraceException(""只在wifi加载图片""))",Chinese parts: 加载图片
