id,type,file_path,line_number,string_name,original_text,translation,context,notes
3851,source_code,app\src\main\java\io\legado\app\model\CacheBook.kt,211,,失败,Thất bại,"载${book.name}-${chapter.title}失败\n${error.localizedMessage}"",",Chinese parts: 失败
3872,source_code,app\src\main\java\io\legado\app\model\Debug.kt,173,,开始访问发现页,Bắt đầu truy cập trang khám phá,,"g(bookSource.bookSourceUrl, ""⇒开始访问发现页:$url"")",Chinese parts: 开始访问发现页
3873,source_code,app\src\main\java\io\legado\app\model\Debug.kt,182,,开始访目录页,Bắt đầu truy cập trang mục lục,,"g(bookSource.bookSourceUrl, ""⇒开始访目录页:$url"")",Chinese parts: 开始访目录页
3874,source_code,app\src\main\java\io\legado\app\model\Debug.kt,190,,开始访正文页,Bắt đầu truy cập trang nội dung,,"g(bookSource.bookSourceUrl, ""⇒开始访正文页:$url"")",Chinese parts: 开始访正文页
3875,source_code,app\src\main\java\io\legado\app\model\Debug.kt,192,,调试,Gỡ lỗi,,"chapter.title = ""调试""",Chinese parts: 调试
3876,source_code,app\src\main\java\io\legado\app\model\Debug.kt,198,,开始搜索关键字,Bắt đầu tìm kiếm từ khóa,,"g(bookSource.bookSourceUrl, ""⇒开始搜索关键字:$key"")",Chinese parts: 开始搜索关键字
3877,source_code,app\src\main\java\io\legado\app\model\Debug.kt,205,,开始解析发现页,Bắt đầu phân tích trang khám phá,,"log(debugSource, ""︾开始解析发现页"")",Chinese parts: 开始解析发现页
3878,source_code,app\src\main\java\io\legado\app\model\Debug.kt,209,,发现页解析完成,Phân tích trang khám phá hoàn tất,,"log(debugSource, ""︽发现页解析完成"")",Chinese parts: 发现页解析完成
3879,source_code,app\src\main\java\io\legado\app\model\Debug.kt,213,,未获取到书籍,Không lấy được sách,,"log(debugSource, ""︽未获取到书籍"", state = -1)",Chinese parts: 未获取到书籍
3880,source_code,app\src\main\java\io\legado\app\model\Debug.kt,223,,开始解析搜索页,Bắt đầu phân tích trang tìm kiếm,,"log(debugSource, ""︾开始解析搜索页"")",Chinese parts: 开始解析搜索页
3881,source_code,app\src\main\java\io\legado\app\model\Debug.kt,227,,搜索页解析完成,Phân tích trang tìm kiếm hoàn tất,,"log(debugSource, ""︽搜索页解析完成"")",Chinese parts: 搜索页解析完成
3882,source_code,app\src\main\java\io\legado\app\model\Debug.kt,231,,未获取到书籍,Không lấy được sách,,"log(debugSource, ""︽未获取到书籍"", state = -1)",Chinese parts: 未获取到书籍
3883,source_code,app\src\main\java\io\legado\app\model\Debug.kt,242,,已获取目录链接,Đã lấy được liên kết mục lục,,"log(debugSource, ""≡已获取目录链接,跳过详情页"")",Chinese parts: 已获取目录链接
3884,source_code,app\src\main\java\io\legado\app\model\Debug.kt,242,,跳过详情页,Bỏ qua trang chi tiết,,"log(debugSource, ""≡已获取目录链接,跳过详情页"")",Chinese parts: 跳过详情页
3885,source_code,app\src\main\java\io\legado\app\model\Debug.kt,247,,开始解析详情页,Bắt đầu phân tích trang chi tiết,,"log(debugSource, ""︾开始解析详情页"")",Chinese parts: 开始解析详情页
3886,source_code,app\src\main\java\io\legado\app\model\Debug.kt,250,,详情页解析完成,Phân tích trang chi tiết hoàn tất,,"log(debugSource, ""︽详情页解析完成"")",Chinese parts: 详情页解析完成
3887,source_code,app\src\main\java\io\legado\app\model\Debug.kt,255,,文件类书源跳过解析目录,Nguồn sách dạng tệp bỏ qua phân tích mục lục,,"log(debugSource, ""≡文件类书源跳过解析目录"", state = 1000)",Chinese parts: 文件类书源跳过解析目录
3888,source_code,app\src\main\java\io\legado\app\model\Debug.kt,265,,开始解析目录页,Bắt đầu phân tích trang mục lục,,"log(debugSource, ""︾开始解析目录页"")",Chinese parts: 开始解析目录页
3889,source_code,app\src\main\java\io\legado\app\model\Debug.kt,268,,目录页解析完成,Phân tích trang mục lục hoàn tất,,"log(debugSource, ""︽目录页解析完成"")",Chinese parts: 目录页解析完成
3890,source_code,app\src\main\java\io\legado\app\model\Debug.kt,272,,没有正文章节,Không có chương nội dung,,"log(debugSource, ""≡没有正文章节"")",Chinese parts: 没有正文章节
3891,source_code,app\src\main\java\io\legado\app\model\Debug.kt,291,,开始解析正文页,Bắt đầu phân tích trang nội dung,,"log(debugSource, ""︾开始解析正文页"")",Chinese parts: 开始解析正文页
3892,source_code,app\src\main\java\io\legado\app\model\Debug.kt,300,,正文页解析完成,Phân tích trang nội dung hoàn tất,,"log(debugSource, ""︽正文页解析完成"", state = 1000)",Chinese parts: 正文页解析完成
3893,source_code,app\src\main\java\io\legado\app\model\ReadAloud.kt,61,,启动朗读服务出错,Lỗi khi khởi động dịch vụ đọc to,,"val msg = ""启动朗读服务出错\n${e.localizedMessage}""",Chinese parts: 启动朗读服务出错
3894,source_code,app\src\main\java\io\legado\app\model\ReadBook.kt,74,,跳转进度前进度记录,Ghi lại tiến độ trước khi chuyển trang,,/* 跳转进度前进度记录 */,Chinese parts: 跳转进度前进度记录
3895,source_code,app\src\main\java\io\legado\app\model\ReadBook.kt,77,,端阅读进度记录,Ghi lại tiến độ đọc trên web,,/* web端阅读进度记录 */,Chinese parts: 端阅读进度记录
3896,source_code,app\src\main\java\io\legado\app\model\ReadBook.kt,200,,避免进度条连续跳转不能覆盖最初的进度记录,Tránh thanh tiến độ nhảy liên tục làm ghi đè tiến độ ban đầu,,ookProgress != null) return //避免进度条连续跳转不能覆盖最初的进度记录,Chinese parts: 避免进度条连续跳转不能覆盖最初的进度记录
3897,source_code,app\src\main\java\io\legado\app\model\ReadBook.kt,252,,拉取阅读进度失败,Không thể lấy tiến độ đọc,,"AppLog.put(""拉取阅读进度失败"", it)",Chinese parts: 拉取阅读进度失败
3898,source_code,app\src\main\java\io\legado\app\model\ReadBook.kt,332,,章节未加载,Chương chưa tải,,"g.putDebug(""moveToNextChapter-章节未加载,开始加载"")",Chinese parts: 章节未加载
3899,source_code,app\src\main\java\io\legado\app\model\ReadBook.kt,332,,开始加载,Bắt đầu tải,,"ebug(""moveToNextChapter-章节未加载,开始加载"")",Chinese parts: 开始加载
3900,source_code,app\src\main\java\io\legado\app\model\ReadBook.kt,336,,章节已加载,Chương đã tải,,"g.putDebug(""moveToNextChapter-章节已加载,刷新视图"")",Chinese parts: 章节已加载
